"runID","distId","bikeType","lon","lat"
"19934771",210149595,1,114.266756,30.57622
"19934771",210246510,1,114.279926,30.577652
"19934771",210246696,1,114.283027,30.579831
"19934771",210248168,1,114.272592,30.578693
"19934771",210249296,1,114.271131,30.567593
"19934771",210249775,1,114.287532,30.568217
"19934771",210249926,1,114.273148,30.577721
"19934771",210263305,1,114.280483,30.57235
"19934771",210275270,1,114.269619,30.570457
"19934771",210275937,1,114.268926,30.579944
"19934771",210276229,1,114.288683,30.573473
"19934771",210276577,1,114.271731,30.577979
"19934771",210276682,1,114.287384,30.572205
"19934771",210277439,1,114.280083,30.577387
"19934771",210277460,1,114.271769,30.577876
"19934771",210277841,1,114.269035,30.570276
"19934771",210278800,999,114.286528,30.580159
"19934771",270011405,1,114.26762,30.56757
"19934771",270012418,1,114.285508,30.568208
"19934771",270013006,1,114.271083,30.567768
"19934771",270013256,1,114.274219,30.573822
"19934771",270014147,1,114.282411,30.574063
"19934771",270014728,1,114.285536,30.573621
"19934771",270014955,1,114.275228,30.575781
"19934771",270015286,1,114.28555,30.578941
"19934771",270015412,1,114.275479,30.575509
"19934771",270015608,1,114.276745,30.578297
"19934771",270015730,1,114.270348,30.577667
"19934771",270016363,1,114.281906,30.579566
"19934771",270016919,1,114.274957,30.573965
"19934771",270018006,1,114.28616,30.573851
"19934771",270018199,1,114.287463,30.57158
"19934771",270019412,1,114.27014,30.569991
"19934771",270020386,1,114.274998,30.573314
"19934771",270020776,1,114.282053,30.567933
"19934771",270022053,1,114.272007,30.575978
"19934771",270022067,1,114.285846,30.567499
"19934771",270022245,1,114.273362,30.569914
"19934771",270022806,1,114.283888,30.576254
"19934771",270022957,1,114.28605,30.573952
"19934771",270022958,1,114.271697,30.571624
"19934771",270023139,1,114.27338,30.569897
"19934771",270023149,1,114.287431,30.580229
"19934771",270023939,999,114.280606,30.571979
"19934771",270024097,1,114.267978,30.574214
"19934771",270024214,1,114.271684,30.571544
"19934771",270024666,1,114.268086,30.576242
"19934771",270026366,1,114.27397,30.572219
"19934771",270026703,1,114.273806,30.569661
"19934771",270027762,1,114.267414,30.576023
"19934771",270028596,1,114.268063,30.576307
"19934771",270028928,1,114.281323,30.569537
"19934771",270029317,1,114.272068,30.567944
"19934771",270030159,1,114.285974,30.576122
"19934771",270033276,1,114.280891,30.573713
"19934771",270033516,999,114.283674,30.575536
"19934771",270033693,1,114.279654,30.569887
"19934771",270036209,1,114.267287,30.574078
"19934771",270036759,1,114.267027,30.572033
"19934771",270037348,1,114.27556,30.569632
"19934771",270037820,1,114.269629,30.57237
"19934771",270038235,1,114.281655,30.57511
"19934771",270038986,1,114.277222,30.569813
"19934771",270039405,1,114.282253,30.569706
"19934771",270039757,1,114.273462,30.571641
"19934771",270040513,1,114.282033,30.569528
"19934771",270041303,1,114.276621,30.577047
"19934771",270041990,1,114.274922,30.580545
"19934771",270042656,1,114.277371,30.573603
"19934771",270042681,1,114.271576,30.571939
"19934771",270043092,1,114.269795,30.570292
"19934771",270043254,1,114.271197,30.567393
"19934771",270043834,1,114.282045,30.572113
"19934771",270044040,999,114.280061,30.571693
"19934771",270044106,1,114.279961,30.577707
"19934771",270044264,1,114.28355,30.578585
"19934771",270044702,999,114.27027,30.575941
"19934771",270045153,999,114.276128,30.579627
"19934771",270045275,1,114.275527,30.567995
"19934771",270045699,1,114.273296,30.569824
"19934771",270045706,1,114.281922,30.567455
"19934771",270046264,1,114.288367,30.578376
"19934771",270046358,1,114.276002,30.571577
"19934771",270046464,1,114.267395,30.56753
"19934771",270046616,1,114.273996,30.569823
"19934771",270047046,1,114.285982,30.57123
"19934771",270047563,1,114.279163,30.569656
"19934771",270047647,1,114.286194,30.574038
"19934771",270048477,1,114.269576,30.579578
"19934771",270048779,1,114.288992,30.572169
"19934771",270049101,1,114.281996,30.569603
"19934771",270049658,1,114.279673,30.577963
"19934771",270049790,1,114.285371,30.5682
"19934771",270049850,1,114.277984,30.574039
"19934771",270051802,1,114.273727,30.56956
"19934771",270052403,1,114.286247,30.575836
"19934771",270053017,999,114.281986,30.579546
"19934771",270053635,1,114.285895,30.579157
"19934771",270054943,1,114.285061,30.569578
"19934771",270056955,999,114.281377,30.577453
"19934771",270058224,1,114.281297,30.569494
"19934771",270060168,1,114.28877,30.575611
"19934771",270060478,1,114.26975,30.575343
"19934771",270060682,1,114.271653,30.571614
"19934771",270061602,1,114.273718,30.575142
"19934771",270061777,1,114.267345,30.5798
"19934771",270062265,1,114.272025,30.57004
"19934771",270062317,1,114.283664,30.573568
"19934771",270062322,1,114.271721,30.56975
"19934771",270062544,1,114.271149,30.567374
"19934771",270063792,1,114.289665,30.567971
"19934771",270070021,1,114.27189,30.567433
"19934771",270070347,999,114.283484,30.569579
"19934771",270070613,1,114.285471,30.578362
"19934771",270071553,1,114.278458,30.572172
"19934771",270071775,1,114.275469,30.576747
"19934771",270072191,1,114.2817,30.576227
"19934771",270073711,1,114.272232,30.567829
"19934771",270073751,1,114.275187,30.580171
"19934771",270074309,1,114.277948,30.576176
"19934771",270074480,1,114.285603,30.572284
"19934771",270074755,1,114.26731,30.567725
"19934771",270075003,1,114.271663,30.571576
"19934771",270075958,1,114.285811,30.578368
"19934771",270076151,1,114.277912,30.576994
"19934771",270076329,1,114.287601,30.58062
"19934771",270076414,1,114.275599,30.567677
"19934771",270076850,1,114.277665,30.580468
"19934771",270076945,1,114.275787,30.567805
"19934771",270078026,1,114.267366,30.576298
"19934771",270078436,1,114.283472,30.573931
"19934771",270078621,1,114.282404,30.573762
"19934771",270079410,1,114.286028,30.574188
"19934771",270079964,1,114.281386,30.568013
"19934771",270080208,1,114.283883,30.577841
"19934771",270080487,1,114.281782,30.57144
"19934771",270081505,1,114.283774,30.577561
"19934771",270081788,1,114.271364,30.569507
"19934771",270083649,1,114.267698,30.5675
"19934771",270083667,1,114.279973,30.574374
"19934771",270083983,1,114.289509,30.568066
"19934771",270084654,1,114.275538,30.579407
"19934771",270084732,1,114.287124,30.573606
"19934771",270084807,1,114.273301,30.573518
"19934771",270085793,1,114.28594,30.569617
"19934771",270085883,1,114.281093,30.577744
"19934771",270086367,1,114.28965,30.567962
"19934771",270086765,1,114.283729,30.570129
"19934771",270086809,999,114.275685,30.579014
"19934771",270087239,999,114.269429,30.573514
"19934771",270088210,1,114.283713,30.577756
"19934771",270088410,1,114.267955,30.573313
"19934771",270089729,1,114.283556,30.569646
"19934771",270089885,1,114.283615,30.569931
"19934771",270089995,1,114.271297,30.573982
"19934771",270090376,1,114.266798,30.575872
"19934771",270090501,999,114.277977,30.576232
"19934771",270090575,1,114.271799,30.57964
"19934771",270090927,999,114.281581,30.571651
"19934771",270091169,1,114.268135,30.573631
"19934771",270091220,1,114.267681,30.57622
"19934771",270091792,1,114.289182,30.57108
"19934771",270092008,1,114.281982,30.567673
"19934771",270093246,1,114.284896,30.572201
"19934771",270093440,1,114.27563,30.56765
