"distId","bikeType","lon","lat"
206103425,2,114.250339,30.465096
210081602,1,114.329372,30.479801
210081605,1,114.283869,30.594134
210081607,1,114.443306,30.482455
210081608,1,114.477234,30.503664
210081612,999,114.367712,30.461876
210081616,1,114.367302,30.460625
210081619,1,114.312158,30.476702
210081620,1,114.206905,30.571771
210081621,1,114.429398,30.590077
210081622,1,114.41598,30.532807
210081628,1,114.356947,30.540595
210081630,1,114.364315,30.503905
210081640,1,114.34002,30.572426
210081641,1,114.434953,30.486631
210081643,1,114.483899,30.479811
210081644,1,114.351956,30.579946
210081646,1,114.350746,30.616877
210081648,1,114.42815,30.642073
210081651,1,114.274863,30.498727
210081652,999,114.294252,30.473346
210081658,1,114.279193,30.472353
210081659,1,114.380406,30.467973
210081660,1,114.395971,30.62814
210081669,1,114.279813,30.606931
210081671,1,114.411992,30.636404
210081685,1,114.337581,30.474398
210081689,1,114.382182,30.504273
210081699,1,114.323966,30.49399
210081700,1,114.460268,30.585548
210083202,999,114.439752,30.595405
210121391,1,114.301644,30.636724
210121402,999,114.193287,30.541659
210121672,1,114.296392,30.660606
210121673,1,114.253675,30.520757
210121851,1,114.175459,30.506367
210121882,1,114.254123,30.61194
210122205,1,114.286168,30.624652
210122406,1,114.351926,30.662969
210122804,1,114.223722,30.586622
210123182,1,114.225804,30.630134
210123351,1,114.226811,30.614284
210123809,999,114.275266,30.608283
210124050,999,114.330553,30.637775
210124055,1,114.200305,30.5391
210124546,1,114.251168,30.53397
210124614,1,114.255893,30.5249
210124866,1,114.194261,30.648107
210124900,1,114.218163,30.596917
210125347,1,114.253258,30.56735
210126599,999,114.306739,30.630636
210126836,1,114.257287,30.521572
210127431,1,114.226146,30.651251
210127999,1,114.241382,30.554115
210128005,1,114.27653,30.48053
210128404,999,114.319822,30.671676
210132600,1,114.22929,30.589367
210133279,999,114.23782,30.611767
210133293,999,114.415029,30.719282
210133430,1,114.257047,30.519418
210133437,999,114.339642,30.669101
210142548,1,114.19688,30.58489
210142550,1,114.261303,30.552118
210142553,1,114.364844,30.685332
210142694,1,114.292132,30.647617
210142697,999,114.251728,30.635222
210143527,1,114.19961,30.534663
210143529,1,114.217559,30.557702
210143531,1,114.326142,30.535202
210143534,1,114.230046,30.517609
210143537,1,114.263045,30.548522
210143543,1,114.172685,30.600952
210143554,1,114.358658,30.609992
210143557,1,114.410478,30.624648
210143570,1,114.409758,30.547887
210143571,1,114.332479,30.643126
210143574,1,114.443313,30.591612
210143576,1,114.391554,30.619222
210143584,1,114.318336,30.560606
210143587,1,114.397396,30.642331
210143601,1,114.262109,30.595956
210143603,1,114.410579,30.482465
210143612,1,114.291381,30.601112
210143615,999,114.389884,30.634616
210143621,1,114.466306,30.638338
210143631,1,114.47743,30.475714
210143636,999,114.437856,30.456557
210143647,1,114.249545,30.554825
210143648,1,114.26608,30.608853
210143649,1,114.263736,30.549426
210143650,1,114.329476,30.632424
210143651,1,114.347883,30.614472
210143652,1,114.407034,30.641588
210143655,1,114.37717,30.614535
210143656,1,114.39817,30.625269
210143660,1,114.262067,30.620425
210143679,1,114.338257,30.59304
210143686,1,114.265564,30.576253
210143688,1,114.354764,30.679061
210143689,1,114.400024,30.530963
210143691,1,114.371598,30.570394
210143699,1,114.231969,30.613926
210143700,999,114.231615,30.624405
210149192,1,114.219465,30.592586
210149592,1,114.313101,30.608832
210149596,1,114.267272,30.536711
210149598,1,114.222689,30.669111
210149599,1,114.188861,30.579859
210149600,999,114.228082,30.593695
210150220,1,114.261348,30.536194
210150222,999,114.227565,30.613398
210150226,1,114.247849,30.624816
210150229,1,114.245542,30.64819
210150230,1,114.327501,30.683934
210150232,1,114.279943,30.58121
210150235,1,114.187779,30.628449
210150237,1,114.25834,30.648729
210150291,1,114.2359,30.600497
210150292,1,114.386387,30.618732
210150295,1,114.259399,30.649164
210150298,1,114.393288,30.604283
210189727,1,114.317454,30.563091
210189729,1,114.431742,30.625466
210189732,1,114.428449,30.524217
210189733,1,114.385326,30.466714
210189734,1,114.401303,30.622486
210189742,1,114.421035,30.574344
210189747,1,114.312239,30.562815
210189752,1,114.379541,30.595847
210189753,1,114.437152,30.51356
210189754,1,114.325865,30.592738
210189755,1,114.380157,30.46538
210189782,1,114.367833,30.513292
210189803,1,114.421819,30.468234
210189804,1,114.345916,30.55085
210189821,1,114.29903,30.518464
210189826,999,114.454011,30.615174
210189833,1,114.312063,30.567192
210189834,1,114.425028,30.65399
210189835,1,114.277746,30.503339
210189848,1,114.301939,30.531363
210189875,1,114.415725,30.564999
210189882,1,114.378925,30.520697
210189884,1,114.40448,30.638721
210189887,1,114.410556,30.542966
210189888,1,114.249072,30.583219
210189891,1,114.424679,30.481971
210189893,1,114.482712,30.584127
210189896,1,114.390926,30.514666
210189897,1,114.484641,30.508677
210189901,1,114.338043,30.517105
210189902,1,114.379956,30.618674
210189914,1,114.472961,30.663155
210189954,1,114.371177,30.538996
210189956,1,114.314684,30.514095
210189962,1,114.403726,30.633203
210189963,999,114.336801,30.667718
210189965,1,114.384657,30.529505
210189968,1,114.371518,30.465589
210189973,1,114.377431,30.494884
210189976,1,114.248994,30.534357
210189977,1,114.396108,30.511702
210189979,1,114.272029,30.474946
210189981,1,114.379211,30.518476
210189982,1,114.335589,30.516685
210189983,1,114.279757,30.485255
210189984,1,114.46233,30.596656
210189985,1,114.291422,30.482471
210190399,1,114.263623,30.628626
210190436,1,114.305211,30.607379
210190627,1,114.240511,30.502423
210190631,1,114.187784,30.59483
210190892,1,114.197465,30.59082
210190999,1,114.373581,30.589114
210196087,1,114.296751,30.658282
210196089,1,114.256849,30.651725
210196090,1,114.249899,30.610686
210196092,1,114.25633,30.627488
210196093,1,114.262503,30.530749
210199444,1,114.448122,30.483865
210218859,1,114.191707,30.620939
210218860,1,114.33611,30.668298
210245028,1,114.411491,30.619521
210245032,999,114.272277,30.471658
210245033,1,114.348858,30.541552
210245034,1,114.323591,30.500654
210245084,1,114.405279,30.642384
210245085,1,114.309678,30.515495
210245086,1,114.331175,30.480816
210245087,1,114.341887,30.586785
210245089,1,114.441894,30.50652
210245091,1,114.19211,30.628551
210245216,1,114.350261,30.600536
210245260,1,114.27959,30.504105
210245290,1,114.35251,30.512855
210245296,1,114.216572,30.513877
210245297,1,114.354426,30.555816
210245298,1,114.317804,30.571629
210245312,1,114.356998,30.572186
210245426,1,114.349771,30.557106
210245432,1,114.3162,30.511478
210245458,1,114.346545,30.593081
210245461,1,114.419471,30.648692
210245462,1,114.430243,30.507201
210245467,1,114.228099,30.61878
210245491,1,114.264769,30.472826
210245547,1,114.333987,30.516468
210245904,1,114.280044,30.476411
210245905,999,114.28549,30.50843
210245906,1,114.367601,30.615111
210245910,999,114.370643,30.527228
210245915,1,114.233926,30.556584
210245919,1,114.404719,30.522624
210245923,999,114.318182,30.532595
210245929,1,114.396977,30.529052
210245931,1,114.427205,30.499548
210245932,1,114.376279,30.600563
210245938,999,114.283077,30.70725
210245940,1,114.365008,30.580758
210245941,999,114.281989,30.502517
210245992,999,114.338589,30.491799
210245995,1,114.438195,30.483354
210246006,1,114.353901,30.542325
210246016,1,114.379935,30.498084
210246018,1,114.31866,30.485781
210246026,1,114.445574666667,30.4865353333333
210246028,1,114.353234,30.619615
210246029,999,114.416269,30.622095
210246030,1,114.324024,30.580443
210246031,1,114.423569,30.456322
210246032,1,114.326818,30.5941
210246034,1,114.333195,30.574705
210246035,999,114.426781,30.486565
210246036,1,114.322502,30.477537
210246038,1,114.315817,30.627916
210246040,1,114.361291,30.521659
210246041,1,114.483368,30.535113
210246042,1,114.47742,30.475381
210246055,1,114.418734,30.527795
210246056,999,114.321755,30.517209
210246057,999,114.294805,30.460493
210246058,1,114.285475,30.489188
210246059,1,114.389676,30.642728
210246063,1,114.325239,30.589919
210246064,1,114.287635,30.473847
210246086,1,114.39998,30.62861
210246094,1,114.332738,30.480235
210246096,1,114.449449,30.477415
210246102,1,114.403954,30.47453
210246103,1,114.377857,30.577476
210246104,1,114.238818,30.578619
210246109,999,114.341637,30.461933
210246110,1,114.410324,30.648439
210246111,1,114.393986,30.62688
210246113,1,114.29824,30.475647
210246114,1,114.337697,30.604823
210246123,1,114.353598,30.608828
210246141,1,114.378505,30.460978
210246144,1,114.325383,30.476499
210246149,1,114.329178,30.55529
210246158,1,114.359867,30.605357
210246160,1,114.41316,30.489107
210246205,1,114.329906,30.504371
210246222,1,114.355618,30.514833
210246226,1,114.392087,30.604941
210246227,999,114.2845,30.505491
210246228,1,114.37566,30.599026
210246229,1,114.327764,30.578782
210246232,1,114.426013,30.608345
210246233,1,114.410596,30.626897
210246234,1,114.297147,30.552822
210246240,1,114.349695,30.474602
210246243,1,114.346537,30.520411
210246244,1,114.436487,30.654569
210246245,1,114.387764,30.594314
210246251,999,114.3001,30.489814
210246279,1,114.381074,30.592541
210246280,999,114.309521,30.511947
210246285,1,114.309977,30.540721
210246286,999,114.193576,30.558421
210246293,1,114.309553,30.545632
210246309,1,114.399332,30.630889
210246310,1,114.360347,30.575995
210246313,1,114.35823,30.531749
210246315,1,114.31712,30.570416
210246316,1,114.323612,30.548802
210246317,999,114.334187,30.584284
210246318,1,114.294239,30.518867
210246321,1,114.357936,30.609071
210246322,999,114.364651,30.517342
210246323,1,114.193981,30.596074
210246325,1,114.348459,30.599179
210246328,1,114.309968,30.560533
210246329,1,114.337435,30.516634
210246333,1,114.417508,30.596719
210246337,1,114.303051,30.641945
210246340,1,114.329068,30.514762
210246342,1,114.389384,30.602477
210246345,1,114.398167,30.621106
210246349,1,114.325016,30.521228
210246353,1,114.358403,30.61765
210246377,1,114.420354,30.460299
210246379,1,114.387079,30.529129
210246380,999,114.341802,30.461166
210246381,1,114.323682,30.468374
210246382,999,114.195738,30.549633
210246404,1,114.299852,30.513064
210246406,1,114.399886,30.633287
210246407,1,114.380496,30.493949
210246409,1,114.430274,30.489101
210246411,1,114.26017,30.610953
210246413,1,114.418671,30.552074
210246426,1,114.32151,30.526334
210246432,1,114.424379,30.51649
210246434,1,114.350698,30.528648
210246438,1,114.457508,30.553917
210246441,1,114.341883,30.608941
210246442,1,114.366495,30.569622
210246444,1,114.283571,30.490017
210246445,1,114.319959,30.472828
210246446,1,114.480992,30.624714
210246448,1,114.29982,30.536269
210246452,1,114.370315,30.583206
210246453,999,114.377291,30.580897
210246456,999,114.400005,30.663676
210246458,1,114.311391,30.53311
210246468,1,114.313519,30.502538
210246469,1,114.345616,30.602782
210246470,1,114.411888,30.540231
210246487,1,114.406307,30.622678
210246488,1,114.313244,30.475696
210246489,999,114.412457,30.503872
210246490,999,114.425763,30.534358
210246491,999,114.440121,30.615301
210246494,1,114.301456,30.506559
210246496,1,114.347389,30.604406
210246514,1,114.22992,30.524442
210246515,1,114.325972,30.634885
210246568,1,114.219553,30.615688
210246569,999,114.331883,30.678763
210246572,1,114.30014,30.587136
210246573,1,114.305985,30.69438
210246575,1,114.3535,30.69662
210246615,1,114.255793,30.602719
210246619,999,114.222054,30.630499
210246620,1,114.226365,30.649583
210246625,1,114.317908,30.611811
210246633,1,114.303384,30.714161
210246650,1,114.358067,30.603839
210246652,999,114.397203,30.53215
210246653,1,114.255724,30.576938
210246655,1,114.261162,30.647584
210246656,1,114.316,30.557239
210246696,1,114.269719,30.580894
210246698,1,114.208899,30.623153
210246700,1,114.307741,30.475045
210246701,1,114.189956,30.576835
210246702,1,114.292457,30.483129
210246706,1,114.210078,30.602165
210246707,1,114.279663,30.664468
210246708,1,114.240035,30.574361
210246709,1,114.263654,30.481422
210246742,1,114.410886,30.540446
210246854,1,114.31829,30.46147
210246860,1,114.259534,30.657583
210246861,1,114.317865,30.544521
210246862,1,114.299611,30.698201
210246865,1,114.304021,30.492475
210246885,1,114.376533,30.505958
210246910,1,114.34861,30.50628
210246912,1,114.437851,30.587797
210246914,1,114.432619,30.634276
210247025,1,114.375641,30.614779
210247026,1,114.37624,30.506447
210247048,1,114.210142,30.620762
210247049,1,114.416457,30.63192
210247052,1,114.425841,30.655987
210247054,1,114.403441,30.613387
210247055,1,114.324602,30.500107
210247059,1,114.263073,30.477802
210247061,1,114.348172,30.602724
210247062,1,114.363186,30.624253
210247063,1,114.352525,30.512237
210247066,1,114.272337,30.466521
210247073,1,114.3147,30.56108
210247074,1,114.388216,30.638564
210247075,1,114.332382,30.571599
210247077,1,114.307092,30.522661
210247079,1,114.402419,30.626599
210247080,1,114.411187,30.542156
210247083,1,114.409104,30.506233
210247087,1,114.380221,30.494359
210247089,1,114.353587,30.601804
210247093,1,114.409087,30.492512
210247095,1,114.428766,30.616822
210247098,1,114.37601,30.489841
210247099,999,114.287781,30.482693
210247105,999,114.302333,30.531389
210247106,999,114.331444,30.571253
210247113,1,114.330449,30.574655
210247115,1,114.387729,30.594295
210247116,1,114.33834,30.588061
210247119,1,114.409134,30.544018
210247127,1,114.371853,30.592675
210247129,1,114.319516,30.533288
210247141,1,114.419729,30.582436
210247145,1,114.446104,30.655948
210247147,1,114.370568,30.588408
210247149,1,114.41146,30.619482
210247152,1,114.357175,30.51585
210247161,1,114.420133,30.595346
210247198,1,114.199395,30.563892
210247199,1,114.303555,30.523884
210247510,1,114.421106,30.534768
210247513,1,114.427659,30.471574
210247514,1,114.34996,30.597024
210247516,1,114.185764,30.492046
210247529,1,114.381299,30.588673
210247570,999,114.310089,30.554858
210247571,1,114.303487,30.536991
210247576,1,114.376816,30.499359
210247583,1,114.372099,30.593225
210247586,1,114.2964,30.530473
210247590,1,114.409318,30.561309
210247592,1,114.318722,30.621225
210247603,1,114.331522,30.538238
210247608,1,114.229694,30.620755
210247616,1,114.42013,30.5724
210247621,1,114.349816,30.573926
210247635,999,114.47115,30.630675
210247639,1,114.43847,30.64667
210247641,1,114.347959,30.605765
210247642,1,114.301749,30.515793
210247647,1,114.339325,30.501084
210247648,1,114.367514,30.527691
210247649,1,114.329918,30.593708
210247653,1,114.293131,30.622574
210247655,1,114.412621,30.638738
210247656,1,114.307084,30.615073
210247657,1,114.441031,30.464588
210247669,1,114.372017,30.497477
210247674,1,114.267528,30.471681
210247675,1,114.316155,30.542986
210247804,1,114.3849,30.527507
210247828,1,114.439841,30.504839
210247829,1,114.410639,30.497743
210247832,1,114.477134,30.607063
210247834,1,114.418716,30.527761
210247835,1,114.306243,30.552023
210247836,1,114.478451,30.659164
210247837,1,114.329492,30.555414
210247839,1,114.489615,30.557653
210247840,1,114.321361,30.468651
210247841,1,114.297609,30.495212
210247843,1,114.325433,30.632765
210247844,1,114.433717,30.653635
210247848,1,114.344573,30.48753
210247852,1,114.35327,30.606513
210247853,1,114.370626,30.502885
210247856,1,114.326513,30.490839
210247857,1,114.263452,30.620866
210247867,1,114.427372,30.624179
210248121,1,114.438297,30.655
210248122,1,114.424064,30.505578
210248124,1,114.27918,30.648353
210248131,1,114.213197,30.594366
210248132,999,114.193984,30.675413
210248134,1,114.352127,30.563865
210248135,1,114.321204,30.698392
210248139,1,114.26483,30.584368
210248140,1,114.226831,30.617123
210248146,1,114.261869,30.580973
210248148,1,114.207215,30.594769
210248152,1,114.288295,30.485615
210248156,1,114.39021,30.619021
210248166,1,114.20413,30.675571
210248179,1,114.439295,30.501425
210248184,1,114.27011,30.619906
210248196,1,114.24541,30.546235
210248482,1,114.215446,30.586984
210248533,1,114.288971,30.566715
210248643,1,114.335648,30.580919
210248671,1,114.350995,30.60434
210248672,1,114.351934,30.566928
210248673,1,114.290863,30.510436
210248674,1,114.415572,30.576207
210248692,1,114.38181,30.479671
210248693,1,114.364887,30.570845
210249137,1,114.319341,30.532116
210249156,1,114.287892,30.520838
210249159,1,114.303453,30.474671
210249161,999,114.386986,30.529009
210249163,1,114.353781,30.522205
210249164,1,114.270381,30.481284
210249168,1,114.356432,30.508219
210249170,1,114.368339,30.608727
210249171,1,114.358416,30.608583
210249173,1,114.288366,30.497122
210249174,1,114.26773,30.65393
210249176,1,114.303181,30.513581
210249177,999,114.290593,30.497228
210249178,1,114.463428,30.485325
210249181,1,114.36728,30.596996
210249185,1,114.410334,30.494703
210249190,999,114.302651,30.467359
210249203,1,114.312321,30.630213
210249206,1,114.212538,30.615847
210249209,1,114.187803,30.556277
210249217,1,114.458672,30.473904
210249218,1,114.428734,30.596723
210249221,1,114.443592,30.654379
210249223,1,114.339267,30.500606
210249224,1,114.329836,30.459648
210249263,999,114.23955,30.56699
210249264,1,114.219605,30.661246
210249265,999,114.321104,30.53028
210249269,1,114.320001,30.574913
210249271,1,114.366965,30.566413
210249272,999,114.349596,30.469165
210249289,1,114.167293,30.696894
210249290,999,114.213545,30.654526
210249293,1,114.209572,30.63594
210249295,1,114.282037,30.582572
210249503,1,114.333461,30.582751
210249504,1,114.289735,30.61267
210249505,1,114.200734,30.575605
210249507,1,114.420075,30.460886
210249510,1,114.389409,30.505634
210249515,1,114.385028,30.624701
210249516,1,114.346709,30.460854
210249520,1,114.308195,30.476871
210249521,1,114.383499,30.618668
210249531,1,114.353238,30.606568
210249533,1,114.40046,30.498631
210249542,1,114.283438,30.555978
210249547,1,114.275349,30.600892
210249548,1,114.372547,30.464069
210249552,1,114.469378,30.483951
210249556,1,114.31491,30.482063
210249559,1,114.347181,30.580406
210249560,1,114.315761,30.477317
210249563,999,114.336416,30.47421
210249568,1,114.317506,30.558625
210249569,1,114.429719,30.654128
210249572,1,114.359284,30.611763
210249574,1,114.202557,30.563433
210249577,1,114.363669,30.477281
210249580,1,114.364975,30.616469
210249582,1,114.346473,30.505698
210249583,1,114.417126,30.568182
210249586,1,114.433853,30.653867
210249590,1,114.282782,30.50629
210249592,1,114.400316,30.521745
210249593,1,114.425832,30.468109
210249595,1,114.332183,30.590378
210249598,1,114.389355,30.626829
210249599,1,114.404318,30.521938
210249600,1,114.324553,30.501181
210249602,1,114.288641,30.459615
210249604,1,114.366873,30.571395
210249606,999,114.22387,30.61945325
210249608,1,114.367314,30.596855
210249609,1,114.245249,30.574707
210249622,1,114.226677,30.577359
210249624,1,114.231946,30.602207
210249626,1,114.228522,30.529379
210249627,1,114.278744,30.682935
210249628,999,114.197509,30.518572
210249630,1,114.212568,30.667055
210249631,1,114.204333,30.646865
210249632,1,114.169353,30.630924
210249634,1,114.428744,30.596642
210249635,1,114.352453,30.564215
210249637,1,114.315718,30.477408
210249638,1,114.369215,30.608204
210249641,1,114.402995,30.64683
210249644,1,114.318793,30.53839
210249645,1,114.323637,30.518974
210249651,1,114.369329,30.570138
210249659,1,114.281519,30.551264
210249661,1,114.19392,30.616121
210249664,1,114.2519,30.574789
210249669,1,114.308911,30.622575
210249671,1,114.405567,30.629
210249672,1,114.390011,30.630766
210249677,1,114.423327,30.560762
210249680,999,114.336077,30.67577
210249690,1,114.428205,30.652845
210249704,1,114.338185,30.477226
210249705,1,114.344293,30.598314
210249706,1,114.253766,30.586445
210249709,1,114.419875,30.650579
210249710,1,114.414516,30.547686
210249715,1,114.486183,30.504187
