lon1;lat1;lon2;lat2
8.9035411;47.4884348;6.2547728;46.2495945
8.0457015;47.390434;7.5914805;46.8901783
7.2751012;47.0420553;9.49135;47.21147
7.9066923;47.3205914;7.8649048;46.7271574
7.7708422;47.2377902;8.1860531;47.4626153
